timeOpen,timeClose,timeHigh,timeLow,priceOpen,priceHigh,priceLow,priceClose,volume
1.74308E+12,1.74316E+12,1.74309E+12,1.74313E+12,0.075742659,0.076886282,0.074120817,0.075499076,35466434.7
1.74299E+12,1.74308E+12,1.74303E+12,1.74306E+12,0.077649072,0.079982924,0.074760058,0.075742659,55194392.61
1.7429E+12,1.74299E+12,1.74291E+12,1.74292E+12,0.078248388,0.078905476,0.076217322,0.077649072,41083828.88
1.74282E+12,1.7429E+12,1.74286E+12,1.7429E+12,0.08025607,0.082465497,0.077927833,0.078248388,61673312.06
1.74273E+12,1.74282E+12,1.74274E+12,1.74277E+12,0.079884281,0.08093144,0.078720824,0.08025607,28990991.64
1.74264E+12,1.74273E+12,1.74267E+12,1.74264E+12,0.077388639,0.080459775,0.077388416,0.079884281,23461514.56
1.74256E+12,1.74264E+12,1.74262E+12,1.7426E+12,0.077860767,0.079236115,0.07585023,0.077388485,46866080.51
1.74247E+12,1.74256E+12,1.74247E+12,1.74256E+12,0.0826357,0.083011705,0.077617202,0.077860767,63882631.85
1.74239E+12,1.74247E+12,1.74247E+12,1.74239E+12,0.077982396,0.082972662,0.076156502,0.0826357,87274976.57
1.7423E+12,1.74239E+12,1.74239E+12,1.74232E+12,0.075678191,0.077994948,0.0724149,0.077982396,57583980.82
1.74221E+12,1.7423E+12,1.74228E+12,1.74226E+12,0.073740727,0.076335158,0.072972828,0.075695002,54005625.46
1.74213E+12,1.74221E+12,1.74213E+12,1.74221E+12,0.080514621,0.081750714,0.073433978,0.073741052,60912502.68
1.74204E+12,1.74213E+12,1.74206E+12,1.74204E+12,0.077953184,0.082561394,0.077939185,0.080514579,61193858.87
1.74195E+12,1.74204E+12,1.74204E+12,1.74195E+12,0.070845474,0.078818536,0.070422431,0.077953855,77220856.52
1.74187E+12,1.74195E+12,1.74187E+12,1.74193E+12,0.071791499,0.074127541,0.068470871,0.070845474,68298381.86
1.74178E+12,1.74187E+12,1.74183E+12,1.74181E+12,0.069657917,0.071916168,0.065962883,0.071794499,95967689.9
1.74169E+12,1.74178E+12,1.74175E+12,1.7417E+12,0.058602772,0.075066277,0.055873922,0.069657892,190947438
1.74161E+12,1.74169E+12,1.74164E+12,1.74168E+12,0.060585455,0.064076641,0.055912449,0.058602772,87383803.92
1.74152E+12,1.74161E+12,1.74155E+12,1.74161E+12,0.069775625,0.072321489,0.060331849,0.060585455,85107723.64
1.74144E+12,1.74152E+12,1.74149E+12,1.74145E+12,0.07004023,0.072553388,0.067214205,0.069775671,54474940.9
1.74135E+12,1.74144E+12,1.74135E+12,1.74144E+12,0.075870871,0.075940202,0.070032995,0.070040064,80309322.83
1.74126E+12,1.74135E+12,1.74132E+12,1.74127E+12,0.074813567,0.07686222,0.073954781,0.075870871,60199994.59
1.74118E+12,1.74126E+12,1.74121E+12,1.74124E+12,0.075659696,0.077833213,0.073225518,0.074813567,59367124.48
1.74109E+12,1.74118E+12,1.74109E+12,1.74115E+12,0.078546108,0.079002452,0.069032573,0.075660164,124711098.3
1.741E+12,1.74109E+12,1.741E+12,1.74108E+12,0.089739165,0.089770936,0.077431796,0.078546108,106408393.1
1.74092E+12,1.741E+12,1.74098E+12,1.74097E+12,0.079441692,0.094091961,0.075487861,0.089739416,117027314.1
1.74083E+12,1.74092E+12,1.74085E+12,1.74088E+12,0.078589556,0.084429749,0.075241837,0.079441692,58935241.64
1.74074E+12,1.74083E+12,1.74074E+12,1.74076E+12,0.083979101,0.084016874,0.074381579,0.078589556,117716292.5
1.74066E+12,1.74074E+12,1.74069E+12,1.74073E+12,0.085530785,0.087730101,0.082211803,0.083979101,51306728.43
