timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-05-17T00:00:00.000Z";"2025-05-17T23:59:59.999Z";"2025-05-17T00:11:00.000Z";"2025-05-17T22:24:00.000Z";"2781";0.1179832564;0.1183735807;0.1079685663;0.1090945021;88612341.02;2856550814.62;"2025-05-17T23:59:59.999Z"
"2025-05-16T00:00:00.000Z";"2025-05-16T23:59:59.999Z";"2025-05-16T18:12:00.000Z";"2025-05-16T22:54:00.000Z";"2781";0.117282115;0.1222580061;0.1168450261;0.1179832564;92221195.53;3088786181.06;"2025-05-16T23:59:59.999Z"
"2025-05-15T00:00:00.000Z";"2025-05-15T23:59:59.999Z";"2025-05-15T16:06:00.000Z";"2025-05-15T07:53:00.000Z";"2781";0.1206583185;0.1218343605;0.111407803;0.1172817969;137958468.4;3069873327.86;"2025-05-15T23:59:59.999Z"
"2025-05-14T00:00:00.000Z";"2025-05-14T23:59:59.999Z";"2025-05-14T00:00:00.000Z";"2025-05-14T17:28:00.000Z";"2781";0.1250962222;0.1250971099;0.117829022;0.1206583185;110710486.04;3157672435.67;"2025-05-14T23:59:59.999Z"
"2025-05-13T00:00:00.000Z";"2025-05-13T23:59:59.999Z";"2025-05-13T19:52:00.000Z";"2025-05-13T04:01:00.000Z";"2781";0.1161084585;0.1268250766;0.1077982816;0.1250962222;198624234.71;3273219490.17;"2025-05-13T23:59:59.999Z"
"2025-05-12T00:00:00.000Z";"2025-05-12T23:59:59.999Z";"2025-05-12T07:40:00.000Z";"2025-05-12T19:31:00.000Z";"2781";0.1170750731;0.1308218889;0.1084748979;0.1161084585;299124933.03;3037446715.5;"2025-05-12T23:59:59.999Z"
"2025-05-11T00:00:00.000Z";"2025-05-11T23:59:59.999Z";"2025-05-11T18:52:00.000Z";"2025-05-11T07:46:00.000Z";"2781";0.1100545877;0.1187842443;0.1042811999;0.1170749523;170977635.43;3062227946.08;"2025-05-11T23:59:59.999Z"
"2025-05-10T00:00:00.000Z";"2025-05-10T23:59:59.999Z";"2025-05-10T23:53:00.000Z";"2025-05-10T01:00:00.000Z";"2781";0.1045836466;0.1101166244;0.1036395058;0.1100545877;94345315.42;2878028349.88;"2025-05-10T23:59:59.999Z"
"2025-05-09T00:00:00.000Z";"2025-05-09T23:59:59.999Z";"2025-05-09T08:40:00.000Z";"2025-05-09T04:07:00.000Z";"2781";0.0992438604;0.1071590511;0.0969970496;0.1045835387;118750438.2;2734504043.06;"2025-05-09T23:59:59.999Z"
"2025-05-08T00:00:00.000Z";"2025-05-08T23:59:59.999Z";"2025-05-08T21:25:00.000Z";"2025-05-08T00:55:00.000Z";"2781";0.091865829;0.1002619641;0.0916286798;0.0992438604;98895135.18;2594417949.6;"2025-05-08T23:59:59.999Z"
"2025-05-07T00:00:00.000Z";"2025-05-07T23:59:59.999Z";"2025-05-07T11:45:00.000Z";"2025-05-07T06:52:00.000Z";"2781";0.0905186212;0.0929318062;0.0890799191;0.0918662085;58596013.92;2401106124.48;"2025-05-07T23:59:59.999Z"
"2025-05-06T00:00:00.000Z";"2025-05-06T23:59:59.999Z";"2025-05-06T00:03:00.000Z";"2025-05-06T21:38:00.000Z";"2781";0.0957690329;0.0958239048;0.0873167787;0.0905186212;66899496.82;2365424353.88;"2025-05-06T23:59:59.999Z"
"2025-05-05T00:00:00.000Z";"2025-05-05T23:59:59.999Z";"2025-05-05T19:39:00.000Z";"2025-05-05T10:56:00.000Z";"2781";0.0906692401;0.0973956989;0.0904669307;0.0957690205;64404230.37;2502214192.81;"2025-05-05T23:59:59.999Z"
"2025-05-04T00:00:00.000Z";"2025-05-04T23:59:59.999Z";"2025-05-04T00:19:00.000Z";"2025-05-04T10:27:00.000Z";"2781";0.0950071423;0.0955396029;0.0895388832;0.0906692401;58044220.64;2368513892.75;"2025-05-04T23:59:59.999Z"
"2025-05-03T00:00:00.000Z";"2025-05-03T23:59:59.999Z";"2025-05-03T01:10:00.000Z";"2025-05-03T23:58:00.000Z";"2781";0.1019496899;0.1039934056;0.0950052299;0.0950071423;59847729.31;2481311145.59;"2025-05-03T23:59:59.999Z"
"2025-05-02T00:00:00.000Z";"2025-05-02T23:59:59.999Z";"2025-05-02T21:37:00.000Z";"2025-05-02T00:01:00.000Z";"2781";0.0940938088;0.1024355799;0.094082496;0.1019495511;74057152.85;2662113400.18;"2025-05-02T23:59:59.999Z"
"2025-05-01T00:00:00.000Z";"2025-05-01T23:59:59.999Z";"2025-05-01T10:34:00.000Z";"2025-05-01T00:03:00.000Z";"2781";0.0897243252;0.0968179832;0.0896805254;0.0940932905;84859903.51;2456536564.59;"2025-05-01T23:59:59.999Z"
"2025-04-30T00:00:00.000Z";"2025-04-30T23:59:59.999Z";"2025-04-30T11:22:00.000Z";"2025-04-30T14:03:00.000Z";"2781";0.0876756399;0.0917465438;0.0833561704;0.0897243252;97393375.59;2341983934.62;"2025-04-30T23:59:59.999Z"
"2025-04-29T00:00:00.000Z";"2025-04-29T23:59:59.999Z";"2025-04-29T08:13:00.000Z";"2025-04-29T23:16:00.000Z";"2781";0.0959151161;0.0981040516;0.0865210773;0.0876756399;86094013.57;2288105775.34;"2025-04-29T23:59:59.999Z"
"2025-04-28T00:00:00.000Z";"2025-04-28T23:59:59.999Z";"2025-04-28T08:39:00.000Z";"2025-04-28T17:35:00.000Z";"2781";0.0965359636;0.1004603425;0.0938736134;0.0959151161;102442636.9;2502651847.72;"2025-04-28T23:59:59.999Z"
"2025-04-27T00:00:00.000Z";"2025-04-27T23:59:59.999Z";"2025-04-27T00:55:00.000Z";"2025-04-27T16:33:00.000Z";"2781";0.1007161094;0.1012289251;0.0957699355;0.0965356869;78728306;2518322882.91;"2025-04-27T23:59:59.999Z"
"2025-04-26T00:00:00.000Z";"2025-04-26T23:59:59.999Z";"2025-04-26T04:27:00.000Z";"2025-04-26T13:58:00.000Z";"2781";0.1035821514;0.1078235429;0.0980195492;0.1007295942;112945740.19;2626863163.53;"2025-04-26T23:59:59.999Z"
"2025-04-25T00:00:00.000Z";"2025-04-25T23:59:59.999Z";"2025-04-25T12:02:00.000Z";"2025-04-25T02:58:00.000Z";"2781";0.0978745093;0.1089765706;0.0968568999;0.1035811825;159793328.04;2701112853.15;"2025-04-25T23:59:59.999Z"
"2025-04-24T00:00:00.000Z";"2025-04-24T23:59:59.999Z";"2025-04-24T15:12:00.000Z";"2025-04-24T03:56:00.000Z";"2781";0.0952719377;0.0985601078;0.0949139244;0.0978748893;85436996.75;2551773067.46;"2025-04-24T23:59:59.999Z"
"2025-04-23T00:00:00.000Z";"2025-04-23T23:59:59.999Z";"2025-04-23T00:37:00.000Z";"2025-04-23T15:19:00.000Z";"2781";0.0987116934;0.0997505177;0.0929536987;0.0952719377;124082897.49;2483471238.75;"2025-04-23T23:59:59.999Z"
"2025-04-22T00:00:00.000Z";"2025-04-22T23:59:59.999Z";"2025-04-22T23:58:00.000Z";"2025-04-22T00:39:00.000Z";"2781";0.0847239792;0.0987178114;0.0842184919;0.0987116934;157611761.34;2572639251.41;"2025-04-22T23:59:59.999Z"
"2025-04-21T00:00:00.000Z";"2025-04-21T23:59:59.999Z";"2025-04-21T16:19:00.000Z";"2025-04-21T00:01:00.000Z";"2781";0.0779484905;0.0849388958;0.07793669;0.0847243498;94365320.06;2207672328.63;"2025-04-21T23:59:59.999Z"
"2025-04-20T00:00:00.000Z";"2025-04-20T23:59:59.999Z";"2025-04-20T02:49:00.000Z";"2025-04-20T11:00:00.000Z";"2781";0.0785807614;0.0788899299;0.0760043898;0.0779484905;38997263.51;2030720620.54;"2025-04-20T23:59:59.999Z"
"2025-04-19T00:00:00.000Z";"2025-04-19T23:59:59.999Z";"2025-04-19T23:57:00.000Z";"2025-04-19T00:01:00.000Z";"2781";0.0764749389;0.0786137506;0.0764606837;0.0785770071;31736880.53;2046699155.52;"2025-04-19T23:59:59.999Z"
"2025-04-18T00:00:00.000Z";"2025-04-18T23:59:59.999Z";"2025-04-18T11:56:00.000Z";"2025-04-18T03:18:00.000Z";"2781";0.0763907573;0.0780533684;0.0753959383;0.0764749389;41953599.85;1991561517.2;"2025-04-18T23:59:59.999Z"
"2025-04-17T00:00:00.000Z";"2025-04-17T23:59:59.999Z";"2025-04-17T11:46:00.000Z";"2025-04-17T19:39:00.000Z";"2781";0.075287131;0.0777593699;0.0750472696;0.0763907573;62459354.35;1988984539.99;"2025-04-17T23:59:59.999Z"
"2025-04-16T00:00:00.000Z";"2025-04-16T23:59:59.999Z";"2025-04-16T15:37:00.000Z";"2025-04-16T08:15:00.000Z";"2781";0.0745301203;0.0779798575;0.0728824153;0.075287131;76248217.76;1959870485.65;"2025-04-16T23:59:59.999Z"
"2025-04-15T00:00:00.000Z";"2025-04-15T23:59:59.999Z";"2025-04-15T00:58:00.000Z";"2025-04-15T22:53:00.000Z";"2781";0.0784867024;0.0790926269;0.0744206619;0.0745301203;72016503.94;1939788857.72;"2025-04-15T23:59:59.999Z"
"2025-04-14T00:00:00.000Z";"2025-04-14T23:59:59.999Z";"2025-04-14T13:05:00.000Z";"2025-04-14T03:59:00.000Z";"2781";0.0729196854;0.0791212096;0.0728566061;0.0784867024;90534549.97;2042336210.72;"2025-04-14T23:59:59.999Z"
"2025-04-13T00:00:00.000Z";"2025-04-13T23:59:59.999Z";"2025-04-13T03:18:00.000Z";"2025-04-13T23:24:00.000Z";"2781";0.0773557333;0.0793302226;0.0724851071;0.0729194298;83552405.62;1897100969.93;"2025-04-13T23:59:59.999Z"
"2025-04-12T00:00:00.000Z";"2025-04-12T23:59:59.999Z";"2025-04-12T23:50:00.000Z";"2025-04-12T09:34:00.000Z";"2781";0.0754895351;0.0774186978;0.0728501674;0.0773557333;88313376.64;2012128290.11;"2025-04-12T23:59:59.999Z"
"2025-04-11T00:00:00.000Z";"2025-04-11T23:59:59.999Z";"2025-04-11T13:50:00.000Z";"2025-04-11T00:58:00.000Z";"2781";0.0689641585;0.076343644;0.0687157872;0.0754895351;131587851.42;1963237772.58;"2025-04-11T23:59:59.999Z"
"2025-04-10T00:00:00.000Z";"2025-04-10T23:59:59.999Z";"2025-04-10T21:12:00.000Z";"2025-04-10T15:52:00.000Z";"2781";0.0679202978;0.0703776176;0.0657875302;0.0689641585;127003684.4;1793186852.75;"2025-04-10T23:59:59.999Z"
"2025-04-09T00:00:00.000Z";"2025-04-09T23:59:59.999Z";"2025-04-09T20:40:00.000Z";"2025-04-09T01:32:00.000Z";"2781";0.0601786661;0.0708808205;0.0587837485;0.0679204316;145670844.1;1765676565.94;"2025-04-09T23:59:59.999Z"
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T13:38:00.000Z";"2025-04-08T22:40:00.000Z";"2781";0.06198667;0.0649615239;0.0596563321;0.0601786661;105426838.29;1564116497.93;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:21:00.000Z";"2025-04-07T07:02:00.000Z";"2781";0.0579101619;0.0680528769;0.0530954859;0.0619866851;250845331.89;1610796856.01;"2025-04-07T23:59:59.999Z"
